COMMENTS,SITE_NAME,BAND,LAT,LONG,SECTOR,Marker 
-,Queens View,Poor,56.2214696,-3.3527802,Sewage (Private),1
There were a number of issues with inaccurate flow meters and premature spills at the site. There were also poor final effluent results in October due to black effluent appearing in the works. This was also not reported to SEPA at the time.,"Perth STW, Sleepless Inch, Perth",Poor,56.3831628,-3.3852698,Sewage (Public),1
"Unsatisfactory benthic survey.
","Mid Loch Shell West MCFF, Loch Shell",Poor,58.0025165,-6.4921564,Fish farming,1
"Action plan in place for this site, awaiting results of voluntary benthic assessment in order to discuss way forward with the operator.","Corry MCFF, Loch Broom",Poor,57.8568928,-5.1061589,Fish farming,1
"Unsatisfactory benthic survey reported during 2014.
","Creag an Sagairt MCFF, Loch Hourn, Kyle",Poor,57.1244732,-5.6324291,Fish farming,1
Unsatisfactory benthic survey result from 2014.,"Loch Dhrombaig MCFF, Eddrachillis Bay",Poor,58.2507091,-5.2053888,Fish farming,1
Unsatisfactory benthic survey result from 2014.,"Loch na Droigniche MCFF, Eddrachillis Bay",Poor,58.2593953,-5.130256,Fish farming,1
"Exceedence of effluent numeric limits. Agreed action plan to address.
",Inverigan Caravan Park and Visitors Centre,Poor,56.6722406,-5.0828592,Sewage (Private),1
Broken outfall pipe resulting in effluent discharging onto beach and not location stated in the licence.  Operator is carrying out improvement works.,St. Michael's Housing Site (Eriskay A),Poor,57.084696,-7.3098593,Sewage (Public),1
Discharge from site breached suspended solid limit twice during 2014,"A&D Sutherland, Spittal Quarry, East SWO",Poor,58.4666958,-3.423032,Other Effluent,1
"Unsatisfactory benthic survey returned, resulting in a significant breach.","West Scargun Shoal MCFF, Wide Firth",Poor,59.0038253,-2.9798641,Fish farming,1
Significant sewage fungus in river during Summer as a result of site activities.,Inverpolly Hatchery,Poor,58.0670492,-5.2648603,Fish farming,1
"Licence now surrendered
","Norscot Joinery STW, Bower",Poor,58.5479662,-3.3135117,Sewage (Private),1
The site has exceeded its discharge consent limits. These consent limits are being re-evaluated by SEPA. SEPA are working with the operator to establish a better regulatory regime for this activity that reflects the potential impact of the site.,Tarradale Refuse Tip,Poor,57.5054315,-4.4151813,Other Effluent,1
"The overall compliance for this site is poor due to repeated failures to comply with the quality limits set for the discharge.
","Barvas Hatchery, Isle of Lewis",Poor,58.3445451,-6.5760703,Fish farming,1
"The overall compliance for this site is poor due to repeated failures to comply with the quality limits set for discharge and an on site issue with the drum filter which has now been resolved.
",Mingarry Hatchery,Poor,57.2136761,-7.383787,Fish farming,1
-,"Sandness Outfall, Melby, Sandness",Poor,60.3042018,-1.6565177,Sewage (Public),1
Following consultations with SEPA early in 2014 the operator has established a revised operating and maintenance plan for the wastewater treatment plant.  These changes have led to a substantial improvement in the quality of the effluent being discharged and compliance with the licence conditions in the latter part of 2014. It is anticipated that as a result of these changes there will be a substantial improvement in the performance of the site for 2015.,"Thistle Seafoods Ltd, The Harbour, Boddam",Poor,57.4728183,-1.7779751,Other Effluent,1
Site is failing to comply with Biochemical Oxygen Demand licence conditions.  Increased site monitoring and procedural changes on site are expected to improve site compliance.  SEPA will continue to work closely with the site during 2015 to ensure future compliance.,"Tamdhu Distillery, Knockando, Aberlour",Poor,57.4528744,-3.3421274,Other Effluent,1
The licensee has made significant investment in a new treatment plant which will  comply with current licence conditions going forward into 2015,Ardmore Distillery - Huntly,Poor,57.350811,-2.7438079,Other Effluent,1
-,Cairngorm WWTP,Poor,57.1348839,-3.6731571,Sewage (Private),1
Sewage fungus seen within watercourse in both May and September.,"Stenness Reed Bed, Stenness, Orkney",Poor,58.9855529,-3.2090326,Sewage (Public),1
"Unsatisfactory seabed survey.
","South Ford MCFF, Loch Carnan",Poor,57.3715563,-7.2655833,Fish farming,1
"Unsatisfactory seabed survey and chemical exceedence.
","Sandavaig MCFF, Loch Carnan",Poor,57.36447,-7.2628997,Fish farming,1
Failure of upper tier limit for suspended solids in the months of January and May.,"Boardhouse WTW, Birsay, Orkney",Poor,59.1091536,-3.2781747,Other Effluent,1
"Unsatisfactory benthic survey returned, resulting in a significant breach.","Bay Of Vady MCFF, Sound of Rousay",Poor,59.1336237,-2.9365829,Fish farming,1
"Benthic monitoring report dated 24/02/2014 classified unsatisfactory
Residue survey received 14/02/2014 identified far-field calicide exceedance
","Loura Voe MCFF, Dury Voe (Site 3)",Poor,60.3374973,-1.1432659,Fish farming,1
Two gross BOD failures in May and August. Failures being blamed on staff changes and plant accidentley switched off. Daily check sheet changed to avoid repeats. No further samples were obtainable in 2014.,"Corriefodly Holiday Park, Bridge of Cally",Poor,56.64546,-3.4137994,Sewage (Private),1
A flow to full treatment flow meter and event recorders on overflows is not provided on site as required.   ,"Ardoch Sewage Treatment Works, Dumbarton West",Poor,55.9467381,-4.605372,Sewage (Public),1
The final effluent discharge in May 2014 was in breach of its licence conditions.,Maybole Sewage Treatment Works,Poor,55.3434587,-4.665534,Sewage (Public),1
There are some issues at this works that have led to instances of non compliance with licensed discharge conditions that will requiire further discussion and investigation during 2015.,"Amlaird WTW, Waterside, Fenwick, Ayrshire",Poor,55.6702277,-4.4136031,Sewage (Public),1
The final effluent discharge at the site is in breach of its licence conditions relating to free chlorine.,Blairlinnans Water Treatment Works,Poor,56.0302044,-4.5592752,Sewage (Public),1
"The operational condition of some of the plant on site, particularly at the inlet, was poor during the first part of the year but showed improvements by the end of the year. Incomplete annual data returns describing flows through the works were submitted to SEPA. Intermittant failures of plant and process caused discharge impacts on the water environment (via overflows) at various times during the year.
","Daldowie STW, Glasgow Rd, Uddingston",Poor,55.8337941,-4.1219048,Sewage (Public),1
The site has been assessed as Poor for the compliance year.  Site has undergone investment to address non compliances with licence conditions and equipment upgrades have been carried out.  A gross breach of sample compliance was recorded during the assessment period.,"Balmaha STW, Balmaha",Poor,56.0825574,-4.540278,Sewage (Public),1
Site failed the faecal coliforms standards in 2014,"Luss STW, Luss, Alexandria",Poor,56.0991216,-4.6383953,Sewage (Public),1
"Inspections in 2014 have found there to be significant issues with the operational condition of plant and infrastructure, with various items throughout the sewage treatment process being affected. ","Bothwellbank STW, Clyde Avenue, Bothwell",Poor,55.79802,-4.0805993,Sewage (Public),1
The site has been assessed as Poor for the compliance year.  An action plan has been submitted by Scottish Water to upgrade and install new infrastructure at the site by April  2015.,"Strathblane Sewage Treatment Works,Blanefield",Poor,55.992131,-4.3315543,Sewage (Public),1
Site is currently not achieving the discharge standards required by the water use licence. However the site are working with SEPA and are engaging with an improvement plan to address these issues. Significant  investment ongoing. ,McVities Group,Poor,55.8447931,-4.1854732,Other Effluent,1
The final effluent discharge at the site is in breach of its licence conditions.,"Corsehouse Water Treatment Works, Stewarton",Poor,55.7190513,-4.4308998,Other Effluent,1
Level of screening on storm overflows inadequate. Event recorder not installed for storm overflow.,MOFFAT STW,Poor,55.3253196,-3.4340758,Sewage (Public),1
A complaint of sewage fungus in the Kirtle Water in July 2014 was attributed to the discharge from Kirkpatrick Fleming S/T. Discussions are on-going with Scottish Water to resolve this issue.,KIRKPATRICK FLEMING S/T,Poor,55.0184321,-3.1355834,Sewage (Public),1
Discrepancy between modelled and marine cage position which is not in accordance with licence. Action plan implemented to address non-compliance.,"Strone Point MCFF, Loch Striven",Poor,55.8984891,-5.0725396,Fish farming,1
Significant sewage fungus noted in watercourse downstream of outfall to Tributary of Loch Tay. Outfall was not to Loch Tay as stated in Licence. Letter sent to owners requesting extension of outfall to Loch Tay.,Cruachan Caravan Site STW Morenish Killin,Poor,56.4934623,-4.2554708,Sewage (Private),1
Unsatisfactory Benthic Survey ,"Outer Vidlin Voe MCFF, Vidlin Voe",Poor,60.3908086,-1.1255378,Fish farming,1
Unsatisfactory Benthic Survey ,"Vidlin Ness North MCFF, Vidlin Voe",Poor,60.3849851,-1.1275077,Fish farming,1
"benthic monitoring survey dated 06/09/2014 classified unsatisfactory
","Collafirth Ness MCFF, Swining Voe (Site 3)",Poor,60.4094573,-1.1631618,Fish farming,1
"Unsatisfactory benthic survey returned, resulting in a significant breach.","Veantrow Bay MCFF, Shapinsay",Poor,59.0761518,-2.8713414,Fish farming,1
5 lower tier BOD exceedences and 1 upper tier BOD exceedence throughout 2014.Discussions have taken place with site and proposals have been submitted for revised modelling of the discharge.  ,Balblair Distillery Co Ltd,Poor,57.8396697,-4.180488,Other Effluent,1
This site is assessed as Poor for 2014 due to the effluent containing more than the lower tier limit (0.25mg/L) of ammonia on more occasions than the licence permits. The operator has carried out improvement works.,"Tullich Hatchery, Tullich, Lochcarron,",Poor,57.4283429,-5.4589,Fish farming,1
"Exceedence of effluent numeric limits. Action implemented to address.
",Clachaig Inn,Poor,56.6638063,-5.056776,Sewage (Private),1
"Benthic monitoring survey dated 07/09/2014 classified unsatisfactory
","Bight Of Foraness MCFF, Yell Sound",Poor,60.4285328,-1.1681217,Fish farming,1
The results of the self monitoring sea bed survey submited to SEPA in February 2014 were assessed by SEPA as having an unsatisfactory impact on the sea bed in the vicinity of the site. SEPA is working with the opeartor to improve compliance.,"Mid Strome MCFF, Loch Carron",Poor,57.3686533,-5.5339635,Fish farming,1
The results of the self monitoring sea bed survey submited to SEPA in May 2014 were assessed as having an unsatisfactory impact on the sea bed in the vicinity of the site. ,"Sgeir Bhuidhe MCFF, Loch Erisort",Poor,58.110172,-6.4158623,Fish farming,1
"This site was stocked in December 2014 in cage configuration and location not specified by the licence. 
","North Shore MCFF, Loch Erisort",Poor,58.1165368,-6.4320004,Fish farming,1
"Benthic monitoring report dated 28/02/2014 classified unsatisfactory 
","Laxo MCFF, Dury Voe (Site 2)",Poor,60.3430337,-1.166673,Fish farming,1
"Unsatisfactory benthic survey.
","Mid Loch Shell East MCFF, Loch Shell",Poor,58.0024267,-6.4786597,Fish farming,1
During 2014 there were a number of over abstractions from Point 3.  A number of these were in excess of 20% over the daily limit.  The data returns for site 3 were out by a factor of 10.,"Tofthill Farm, Glencarse, Perth, PH2 7LS",Poor,56.3757965,-3.3326101,Water Resources ,1
There were 27 significant and 25 minor over abstractions in 2014.,EASTER ESSENDY,Poor,56.5719513,-3.3828141,Water Resources ,1
On seven occasions during 2014 the volume of water abstracted exceeded the maximum limit authorised in the licence.,"Knollhead Farm, Kettins, Coupar Angus",Poor,56.5396964,-3.2337755,Water Resources ,1
"A process error by the plant operator led to a downturn in effluent quality.
","Crows Nest L/F,Raemoir Rd,Banchory,Aberdeen",Poor,57.0641433,-2.5139257,Other Effluent,1
"Little of the flow data required by the licence has been provided, inhibiting effective assessment of the site's impact on the environment. ","Hamilton STW, Bothwell Rd, Hamilton",Poor,55.7943858,-4.0546841,Sewage (Public),1
Unsatisfctory benthic survey dated 23/06/2014,"Vee Taing MCFF, Uyea Sound",Poor,60.6689331,-0.9112204,Fish farming,1
"benthic monitoring survey dated 06/09/2014 classified unsatisfactory
",Setterness South (Formerly West)  MCFF,Poor,60.4182928,-1.1405997,Fish farming,1
"A failure of a licence limit resulted from operational failure during production, and a failure to monitor plant operation led to a power failure causing a pollution incident.
","Macphie of Glenbervie, Glenbervie, Stonehaven",Poor,56.9170174,-2.3826821,Sewage (Private),1
"Operational failure led to a pollution incident. This has since been rectified.
",Aboyne STW,Poor,57.0726945,-2.7568726,Sewage (Public),1
Unsatisfactory benthic survey dated 17/02/2014,Wick of Belmont North MCFF (Site 1),Poor,60.6792702,-0.9694517,Fish farming,1
The final effluent discharge at the site is in breach of its licence conditions.,"Garleffan Extension - Discharge 3, Nr Cumnock",Poor,55.4354577,-4.1842569,Other Effluent,1
Exceedence of abstraction limits.,"Pitcur Farm,Coupar Angus",Poor,56.5192698,-3.2185361,Water Resources ,1
"Unsatisfactory benthic survey reported during 2014.
","Invasion Bay MCFF, Loch Sunart",Poor,56.6845906,-5.7043947,Fish farming,1
The maximum daily limit for this licence is 500m3/Day which has been exceeded on 19 separate days. 14 of these were gross breaches and 5 were minor.  Therefore the assessment for 2014 is a major non-compliance,Coal Farm Anstruther,Poor,56.2094111,-2.7535827,Water Resources ,1
The maximum daily limit for this licence is 990m3/Day which has been exceeded on 6 separate days. Each of these were gross breaches.  Therefore the assessment for 2014 is a major non-compliance.,"Balkaithly, Dunino, St Andrews Fife",Poor,56.2898915,-2.7337331,Water Resources ,1
"The operator exceeded their permitted use of sea louse medicine Emamectin Benzoate (Slice). SEPA is working with the operator to prevent any future recurrence.
","Seaforth MCFF, Loch Seaforth, Isle of Harris",Poor,57.9297636,-6.6787061,Fish farming,1
There are 2 data returns missing a full assessment of the abstraction data could not be completed and therefore this is a non compliance.The data return shows 6 gross breaches as the daily abstraction limit has been exceeded 6 times.,"Easter Grangemuir, Pittenweem",Poor,56.2271456,-2.7325402,Water Resources ,1
Multiple breaches of licence abstraction  limits,"West Friarton Farm, Newport-on-Tay",Poor,56.4225021,-2.9308604,Water Resources ,1
Multiple breaches of licence abstraction  limits,"Arbikie, Inverkeilor, Angus",Poor,56.6481874,-2.5540216,Water Resources ,1
"Unsatisfactory benthic survey reported during 2014.
","Fish Farm, Scallastle Bay, Mull",Poor,56.4907228,-5.7540555,Fish farming,1
"Data returns have not been submitted for 2014 in accordance with the relevant Licence Condition.
Data returns submitted late, 20/04/2015, and assessment noted 2 Gross breaches of annual abstraction limits. One Gross breach from each of the abstraction locations.",Kilmarnock Barassie Golf Club,Poor,55.5625924,-4.6507672,Water Resources ,1
-,Duchally House Hotel,Poor,56.2681236,-3.7174676,Sewage (Private),1
The site was largely compliant but the 2014 flood event highlighted the vulnerability and lack of flexibility in the abstraction method at the lade leading to an over-abstraction of licensed limits.  An investigation into alternative abstraction methods is to be undertaken in order to bring the site into compliance in 2015,Miltonduff Distillery,Poor,57.6244836,-3.3679901,Water Resources ,1
"The operator abstracted water on various dates in March and November 2014, outwith the authorised abstraction period. In addition to this, the end of year data return did not make it clear how much water had been abstracted at each of the boreholes",Gullane Golf Club,Poor,56.0342501,-2.8373636,Water Resources ,1
Multiple breaches of licence abstraction  limits,Glasgow Golf Club,Poor,55.5901204,-4.6621471,Water Resources ,1
"2 Gross breaches, and 2 minor breaches of daily abstraction limits. Also Gross breach of Annual abstraction limit.","Western Gailes Golf Club, Montgomery Burn",Poor,55.5834551,-4.6622926,Water Resources ,1
"Multiple failures of effluent discharge standards.
","Glenlivet Distillery, Ballindalloch",Poor,57.3421491,-3.3364072,Water Resources ,1
The site is failing due to several over abstractions during the 2014 reporting period.  Site is expected to improve compliance during 2015 die to improved monitoring arrangements on site.,Combination of Rothes Distillers Ltd,Poor,57.5325483,-3.2077363,Water Resources ,1
Operator has still to agree monitoring plan with SEPA and has yet to install appropriate flow monitoring equipment to demonstrate compliance with licence conditions.,"Tullibardine Distillery, Blackford",Poor,56.2576365,-3.7846431,Water Resources ,1
Exceedence of abstraction limits.,"March Street Mills, Peebles",Poor,55.6550536,-3.1937619,Water Resources ,1
Over-abstractions and some lack of recording have been highlighted throughout 2014. ,James Johnston & Co of Elgin Ltd,Poor,57.6511768,-3.2988347,Water Resources ,1
The final effluent discharge of the site is in breach of its licence conditions.,NHS Canderside,Poor,55.7135596,-3.958862,Sewage (Private),1
" The data return shows that there were multiple breaches in 2014
","Foodie Farm, Cupar",Poor,56.3425186,-2.9997701,Water Resources ,1
At the time of inspection there was sewage fungus visible in the receiving watercourse. On going discussions with Scottish Water regarding this. ,"Terregles WwTW, Terregles, Dumfriesshire",Poor,55.0762091,-3.6736942,Sewage (Public),1
Unsatisfactory benthic survey reported during 2014.,"Druimyeon Bay MCFF, Isle of Gigha",Poor,55.6988218,-5.7157264,Fish farming,1
"South East Fullarton sewage treatment works has been assessed as ""poor"" for the 2014 compliance assessment period.  The ""poor"" compliance assessment score is attributed to sample failures recorded during 2014.  Throughout 2014 there has been significant dialogue between SEPA and SE Fullarton. As a result of these meetings improvements have been made to the works and a new maintenance regime implemented. ","South East Fullarton, Meigle",Poor,56.5852615,-3.1376781,Sewage (Private),1
The data returns have shown that the licence holder has consistently breached the daily abstraction limit. The licence holder is investigating the matter to resolve the over abstraction issue.,Dumfries & Galloway Royal Infirmary- Borehole,Poor,55.0564968,-3.599052,Water Resources ,1
The operator is currently working with SEPA in order to improve compliance with the licence conditions particularly with regard to the high number of pH failures. It is anticipated that as a result of these ongoing consultations and minor improvements to processes within the factory and the existing wastewater treatment plant there will be an improvement in compliance with the licence conditions for the site in 2015. ,"International Fish Canners (Scotland) Ltd,",Poor,57.6965262,-2.0043879,Other Effluent,1
"Visual examination of the receiving watercourse, in October, confirmed the presence of sewage fungus for 40-50 metres downstream of the outfall. There are on-going discussions with Scottish Water regarding this.","PENPONT S/T,THORNHILL, DUMFRIES & GALLOWAY",Poor,55.2300347,-3.8120007,Sewage (Public),1
"Following various exceedances of the STW, the nursinghome invested in a new primary tank. The first few samples began to show improvement, however the site still failed the limits in the CAR Licence. 
",Rumbling Bridge Nursing Home Rumbling Bridge,Poor,56.1788418,-3.5854018,Sewage (Private),1
The final effluent discharge at the site is in breach of its licence conditions.,"Balbir's Resturant, Off A77, Symington,",Poor,55.5517759,-4.5467348,Sewage (Private),1
The final effluent discharge at the site is in breach of its licence conditions.,"The Gailes Hotel, Marine Dr, Irvine",Poor,55.5937921,-4.6581763,Sewage (Private),1
Site is failing due to regular discharges of sewage effluent to the Purgatory Burn resulting in  pollution.,Dalmuir Sewerage Network,Poor,55.8889774,-4.247287,Sewage (Public),1
Assessment score has been classed as Poor due to repeated pollution events  from assets on the network.  Scottish Water has been asked to provide further information on repairs and investment to address issues within the network. ,Dumbarton Sewerage Network,Poor,55.984561,-4.5792815,Sewage (Public),1
Compliance marked down due to environmental events from network and poor management of assets resulting in pollution.  ,Daldowie Sewerage Network,Poor,55.8301247,-4.0591451,Sewage (Public),1
Compliance has been marked down due to pollution events on the network  ,Hamilton Sewerage Network,Poor,55.7735734,-4.0514105,Sewage (Public),1
Compliance marked down due to one significant environmental event and multiple minor events.  ,Allers Sewerage Network,Poor,55.7397881,-4.1595084,Sewage (Public),1
"The Poor status is the result of lack of flow meter at Barassie Sewage Pumping Station, the failure of critical plant ( pumps, screens and telemetry) and pollution of the environment caused by unauthorised discharges from the network.",Meadowhead  Sewerage Network,Poor,55.5476052,-4.4263541,Sewage (Public),1
"Site assessed as 'Poor' due to an unauthorised discharge which had ocurred due to an electrical fault at Torryburn PS/CSO . A significant amount of sewage solids was noted on the receiving beach, which had lead to public complaints. ",Valleyfield Sewerage Network,Poor,56.0845393,-3.5754167,Sewage (Public),1
Site is failing due to multiple bursts in the rising main between Craigendoran Pier and Helensburgh WWTW resulting in pollution events throughout the year. ,Helensburgh Sewerage Network,Poor,56.0097486,-4.7281472,Sewage (Public),1
One gross failure in August sample. ,"Huntingtower Hotel, Crieff Road, Perth",Poor,56.4143763,-3.5023928,Sewage (Private),1
"Several exceedences of ammoniacal nitrogen, coupled with a need to improve and maintain infrastructure has led to a failure of several conditions in the licence. Upgrades planned at the end of 2014 and beginning of 2015, together with a modelled adjustment of the ammoniacal nitrogen limit, shall hopefully bring this site back into compliance.","Burghead Long Sea Outfall,Burghead, Maltings",Poor,57.7020662,-3.4849142,Other Effluent,1
"The final effluent discharge of the site is in breach of its licence conditions.
","Applecross Nursing Home, Levernholm,By Hurlet",Poor,55.8154692,-4.3716864,Sewage (Private),1
-,"Hagholm Road, Cleghorn",Poor,55.6880798,-3.7332092,Sewage (Public),1
"The results of the self monitoring sea bed survey submited to SEPA in May 2014 were assessed as having an unsatisfactory impact on the sea bed in the vicinity of the site. Following discussions with SEPA, the operator applied to reduce the licensed maximum standing biomass by 25% in October 2014 and the application was granted in December 2014.
","Loch Eport Outer MCFF, Isle of North Uist",Poor,57.5563654,-7.170596,Fish farming,1
A low management performance band has been recorded as flow data required by the licence has not been provided or is incomplete. This data would have allowed for better assessment of site performance and impact on the environment.,"Philipshill WWTW,Westerfield Rd,Busby,Glasgow",Poor,55.7774074,-4.2303284,Sewage (Public),1
"Data return received.  Multiple breaches of abstraction limits
",Orkie Farm Freuchie Fife,Poor,56.252323,-3.1433442,Water Resources ,1
"Unsatisfactory benthic survey reported during 2014.
","Carradale (South) MCFF, Carradale",Poor,55.6128262,-5.4684904,Fish farming,1
"Unsatisfactory benthic survey reported during 2014.
","Setterness North MCFF, Yell Sound, Shetland",Poor,60.4297014,-1.1275833,Fish farming,1
Despite continued efforts from the operator the waste water treatment plant at Loch Leven's Larder is still not meeting its discharge consent limits. Further structural changes have been made to the system and it has been agreed to give some further time to let the treatment system stabilise following these changes. In order to determine if it can move towards compliance.,"Loch Levens Larder, Channel Farm, Kinross",Poor,56.2218785,-3.3556417,Sewage (Private),1
Regularily spilling sewage into a designated shellfish water for extended periods of time.,Finstown Main Sewerage Network,Poor,59.0074389,-3.1180531,Sewage (Public),1
Raw unscreened sewage discharging continually into the receiving environment from an unsewered section of the town. ,Stromness Sewerage Network,Poor,58.9542602,-3.2994523,Sewage (Public),1
Two minor BOD sample failures in August and October. This was thought to be due to faulty equipment. A new diffuser system was fitted in November as well as changes made to timings on the panel. ,"Noah's Ark, Old Gallows Road, Perth",Poor,56.3959784,-3.4906182,Sewage (Private),1
The overall CAS for 2014 is 'Poor' as a result of repeated minor breaches of the bacteriological discharge limit.,"Eyemouth Freezers Limited, Eyemouth",Poor,55.8686512,-2.1006137,Other Effluent,1
Site did not achieve the discharge standards required by the water use licence for 2014. However the site is working with SEPA and have undertaken matenance and repair of the treatment plant to address these issues.,"Balgair Castle Holiday Park, Fintry",Poor,56.0682852,-4.2431753,Sewage (Private),1
The overall CAS result for 2014 was 'Poor' because the discharge was connected to a drain leading into the Heriot Water and not direct into the Heriot Water as stated in the licence. ,"Chesterfield Country Retreat, Cockburnspath",Poor,55.9231143,-2.3668574,Sewage (Private),1
"Barry Downs Caravan Park sewage treatment works has been assessed as ""poor"" for the 2014 compliance assessment period.  The ""poor"" compliance assessment score is attributed to sample failures recorded during 2014. Throughout 2014 there has been significant dialogue between SEPA and Barry Downs Caravan Park regarding ongoing maintenance and servicing of the sewage treatment plant however this has not delivered the required compliance hence other regulatory tools will be used.","Barry Downs Holiday Park, Barry, Carnoustie",Poor,56.4916011,-2.7762802,Sewage (Private),1
